,"Dementia care facilities [hospitals]","Total density per 100 000 population: Hospitals","Total density per 100 000 population: Hospitals","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Dementia-specific hospital beds (per 10,000 population)","Geriatric-specific hospital beds (per 10,000 population)","Total dementia hospital admissions (per 100,000)","Estimated percentage of hospitals following national dementia standards"
"Micronesia (Federated States of)","","","4.83","","","","","","","","",""
"Monaco","","","10.57","","","","","","","","",""
"Mongolia","","","2.50","80.0","70.0","70.0","","","","","",""
"Montenegro","","","2.09","38.6","39.3","39.3","39.3","38.9","","","",""
"Morocco","Yes","","","10.0","11.0","11.0","11.0","8.5","Not available","Not available","60","Not available"
"Myanmar","Yes","","0.63","10.4","10.4","","","","0","70","20","Not available"
"Namibia","","","1.91","","","","","","","","",""
"Nauru","","","9.95","","","","","","","","",""
"Nepal","","","0.38","","","","","","","","",""
"Netherlands","Yes","","0.76","32.8","34.1","34.9","","36.1","Not available","Not available","Not available","100"
"New Zealand","","","","27.3","27.4","27.2","27.6","27.8","","","",""
"Nicaragua","","","0.95","9.3","9.3","9.3","9.3","9.5","","","",""
"Niger","","","0.55","3.9","","3.1","","","","","",""
"Norway","Yes","","","36.0","36.8","37.6","38.4","38.6","Not available","121","Not available","Not available"
"Oman","Yes","","1.35","14.7","14.9","15.6","15.8","17.1","14","Not available","2243","Not available"
"Pakistan","Yes","","0.53","6.3","6.3","6.0","6.0","6.0","Not available","Not available","Not available","Not available"
"Panama","","","0.91","","22.5","22.9","22.4","23.0","","","",""
"Papua New Guinea","","","1.57","","","","","","","","",""
"Paraguay","","","2.43","","8.3","7.8","8.3","","","","",""
"Peru","","","","15.9","15.9","15.5","15.6","15.1","","","",""
"Philippines","","","1.81","","","","9.9","9.9","","","",""
"Poland","Yes","","0.94","66.2","66.4","66.3","66.3","66.1","Not available","1208","408178","Not available"
"Portugal","","","","33.9","33.9","33.7","33.2","33.9","","","",""
"Qatar","Yes","","","12.5","12.0","12.0","12.0","14.0","0","200","Not available","Not available"
"Republic of Korea","Yes","","3.42","122.7","119.8","116.1","115.9","109.2","1902","255021","187991","Not applicable"
"Republic of Moldova","","","2.12","","","","56.6","58.3","","","",""
"North Macedonia","","4.08","","42.8","43.7","43.9","44.0","44.5","","","",""
"Romania","","","1.68","68.9","68.4","67.9","67.1","66.7","","","",""
"Russian Federation","","","","80.5","81.6","83.5","88.1","90.7","","","",""
"Saint Kitts and Nevis","","","7.38","","","","","","","","",""
"Saint Lucia","Yes","","1.65","13.0","","14.1","","12.0","0","0","4","Not available"
"Saint Vincent and the Grenadines","","","0.00","","43.2","43.3","24.0","24.1","","","",""
"Samoa","","","4.20","","","","","","","","",""
"San Marino","","","3.18","","","","","","","","",""
"Saudi Arabia","","","1.04","22.4","22.3","22.0","26.5","22.0","","","",""
"Senegal","","","0.16","","","","","","","","",""
"Serbia","","","1.09","56.1","55.9","55.8","55.2","55.0","","","",""
"Seychelles","","","1.08","","","","","","","","",""
"Singapore","Yes","","0.50","24.9","24.8","24.0","22.4","21.9","Not available","Not available","Not available","Not available"
"Slovakia","","","1.54","58.2","57.8","57.5","57.9","58.0","","","",""
"Slovenia","Yes","","1.25","45.0","44.9","45.1","45.4","45.5","0","16","572","0"
"Somalia","","","","8.7","8.7","8.7","8.7","8.7","","","",""
"South Africa","Yes","","0.67","","","","","","Not available","Not available","Not available","Not available"
"Spain","","","1.63","29.7","29.7","29.8","29.7","29.6","","","",""
"Sri Lanka","","","0.10","41.5","","","","","","","",""
"Sudan","","","1.35","7.4","67.4","6.7","80.1","8.2","","","",""
"Suriname","","","0.37","30.0","","30.5","","","","","",""
"Sweden","Yes","","","22.1","23.4","24.4","25.4","25.9","Not available","Not available","Not available","Not available"
"Switzerland","Yes","","","46.5","46.9","47.3","47.3","48.5","0","Not available","26476","Not available"
"Syrian Arab Republic","","","","14.0","14.6","14.7","15.0","15.2","","","",""
"Tajikistan","","","4.68","","","","46.7","47.6","","","",""
"Thailand","Yes","","1.84","","","","","","0","0","Not available","Not available"
"Togo","Yes","","0.60","","","","","","0","0","Not available","Not available"
"Tonga","","","3.80","","","","","","","","",""
"Trinidad and Tobago","Yes","","","30.2","30.3","30.1","29.9","27.0","0","Not available","Not available","Not available"
"Tunisia","Yes","","2.33","21.8","21.8","21.8","21.8","21.2","0","Not available","Not available","Not available"
"Turkey","No","","1.55","28.1","27.5","26.8","26.8","26.5","Not available","Not available","Not available","Not available"
"Turkmenistan","","","","","","","40.3","39.3","","","",""
"Tuvalu","","0.02","","","","","","","","","",""
"Uganda","","","0.40","","","","","","","","",""
"Ukraine","","","","","","","74.6","88.0","","","",""
"United Arab Emirates","","","","13.8","13.6","11.0","0.1","11.5","","","",""
"United Kingdom of Great Britain and Northern Ireland","Yes","","","25.4","25.7","26.1","27.3","27.6","Not available","Not available","15319","Not available"
"United States of America","Yes","","","28.7","27.7","28.0","28.3","28.9","Not available","Not available","Not available","Not available"
"Uruguay","","","3.93","24.3","24.8","24.3","24.2","24.9","","","",""
"Uzbekistan","","","","","","","39.8","39.9","","","",""
"Vanuatu","","","2.37","","","","","","","","",""
"Venezuela (Bolivarian Republic of)","","","","8.7","8.6","7.3","7.8","","","","",""
"Viet Nam","Yes","","","","","","","31.8","Not available","Not available","Not available","Not available"
"Yemen","","","2.97","7.1","7.1","7.1","7.1","6.7","","","",""
"Zambia","","","0.45","","","","","","","","",""
"Zimbabwe","","","0.52","","","","","","","","",""
